Start,End,PI,Co,Title,Agency,Amount,Share,Type,Status
2014,2017,Julian Tao,Robert Liang,Performance Comparison of Abutment and Retaining Wall Drainage Systems,The Ohio Department of Transportation,285000,80,External,Concluded
2014,2015,Julian Tao,Robert Liang,Stabilization of Peat Deposits for Roadway Construction and Remediation,The Ohio Department of Transportation,65889,80,External,Concluded
2014,2014,Julian Tao,"Jiahua Zhu, Gunjin Yun",Bio-inspired Piezo-electrochromic Full-field Strain Sensing by Multilayered Nanocomposites,Biomimicry Research and Innovation Center Initiative Research Incentive Grant at The University of Akron,10000,34,Internal,Concluded
2016,2018,Julian Tao,,Use of Crushed Recycled Glass in the Construction of Local Roadways,The Ohio Department of Transportation,144160,100,External,Concluded
2016,2017,Julian Tao,,Evaluation of Post Flooding Shoulder Reconditioning,The Ohio Department of Transportation,32427,100,External,Concluded
2016,2017,Julian Tao,,Microbial Induced Calcite Precipitation as Erosion and Bridge Scour Countermeasure,Summer Faculty Fellowship at The University of Akron,10000,100,Internal,Concluded
2017,2018,Qindan Huang,Julian Tao,Evaluation of Effective Bridge Deck Repair Maintenance Methods,The Ohio Department of Transportation,50000,50,External,Concluded
2018,2018,Savas Kaya,"Julian Tao, Munir Nazzal, Yilmaz Sozer and Ala Abbas",Roadway Kinetic Energy Capture and Conversion,The Ohio Department of Transportation,30284,20,External,Deferred
2018,2023,Julian Tao,,CAREER: Integrated Research and Education on Bio-Inspired Burrowing,National Science Foundation,532000,100,External,Active
2019,2021,Julian Tao,"Daniel Aukes, Hamidreza Marvi","EAGER SitS: Active Self-Boring Robots that Enable Next Generation Dynamic Underground Wireless Sensing Networks: Fusion of Fast Prototyping, Modeling and Learning",National Science Foundation,316000,34,External,Concluded
2019,,Julian Tao,,Bio-inspired underground communication,NSF ERC Center for Bio-mediated and Bio-inspired Geotechnics,400000,100,Internal,Active
2019,,Leon van Paassen,Julian Tao,Bio-based Scour Countermeasures,NSF ERC Center for Bio-mediated and Bio-inspired Geotechnics,400000,50,Internal,Active
2020,2025,Edward Kavazanjian,"Zapata, C., Saenz, D., Garcia-Pichel, F., Shock, E., Allenby, B., Rittmann, B., Torres, C., Krajmalnik-Brown, R., Delgado, A., Vivoni, E., Neithalath, N., Cadillo-Quiroz, H., Boyer, T., van Paassen, L., Tao, J., Hamdan, N., Savenye, W., Larson, J.",Engineering Research Center for Bio-Mediated and Bio-Inspired Geotechnics (CBBG),National Science Foundation,16444444,5,External,Active
2023,2023,Julian Tao,,CMMI-EPSRC: BIO-inspired Scour mitigation for emerging offshore wind turbine foundations (BIOS) Principal Investigator,National Science Foundation,300000,100,External,Pending
2023,2023,Julian Tao,"Daniel Goldman, Hamid Marvi, Pablo Sobron","NSF Convergence Accelerator Track M:Sea the Unseen: Marine Mineral Prospecting with Bio-inspired Burrowing Robots and Optical Sensing",National Science Foundation,750000,100,External,Pending
