Year,Role,Activity,Organization
2022,Volunteer,ASU Homecoming Block Party Science Booth (CBBG),ASU
2020,Volunteer,ASU Engineering Open Door,ASU
2019,Volunteer,ASU Homecoming Block Party Science Booth (CBBG),ASU
2019,Faculty Mentor,REU/RET,ASU CBBG
2019,Volunteer,CompuPower SRE Lab Tours,ASU
2018,Volunteer,ASU RECHARGE Conference,ASU
2018,Volunteer,ASU Engineering Open Door,ASU
2018,Volunteer,ASU Homecoming Block Party Science Booth (CBBG),ASU
2017,Mentor,High School Summer Research Academy in Engineering,UAkron
2017,Supervisor,Science Olympiad Tournament,"Akron, Ohio"
2016,Mentor,High School Summer Research Academy in Engineering,UAkron
2016,Judge,Northeastern Ohio STEM Science Fair,Kent State
2015,Speed Mentor,Northeastern Ohio STEM Science Fair,Hudson High
2011,Junior Mentor,Introduce a Girl into Engineering,CWRU
