Department,Course,Title,Term,Year,Credits,Enrollment,Instructor,College
CEE,452,Foundation Engineering,Spring,2025,3,35,4.63,5
CEE,598,Foundation Engineering,Spring,2025,3,2,5,5
CEE,494,Bio-inspired Design,Spring,2025,3,14,5,5
CEE,598,Bio-inspired Design,Spring,2025,3,5,4.6,5
CEE,550,Soil Behavior,Fall,2024,3,15,4.36,5
CEE,452,Foundation Engineering,Spring,2024,3,30,4.38,5
CEE,598,Foundation Engineering,Spring,2024,3,3,4.00,5
CEE,550,Soil Behavior,Fall,2023,3,6,5,5
CEE,452,Foundation Engineering,Spring,2023,3,14,4.24,5
CEE,598,Foundation Engineering,Spring,2023,3,1,3.67,5
CEE,494,Bio-inspired Design,Spring,2023,3,14,4.78,5
CEE,598,Bio-inspired Design,Spring,2023,3,4,5,5
CEE,550,Soil Behavior,Fall,2022,3,6,4.5,5
CEE,452,Foundation Engineering,Spring,2022,3,29,4.25,5
CEE,598,Foundation Engineering,Spring,2022,3,2,4.5,5
CEE,550,Soil Behavior,Fall,2021,3,13,4.6,5
CEE,452,Foundation Engineering,Spring,2021,3,49,4.52,5
CEE,598,Foundation Engineering,Spring,2021,3,4,4.5,5
CEE,494,Bio-inspired Design,Spring,2021,3,14,4.8,5
CEE,598,Bio-inspired Design,Spring,2021,3,6,5,5
CEE,452,Foundation Engineering,Spring,2020,3,57,4.45,5
CEE,598,Foundation Engineering,Spring,2020,3,3,5,5
CEE,550,Soil Behavior,Fall,2019,3,13,4.82,5
CEE,494,Bio-inspired Design,Spring,2019,3,13,4.8,5
CEE,598,Bio-inspired Design,Spring,2019,3,8,4.78,5
CEE,550,Soil Behavior,Fall,2018,3,10,4.85,5
4300,314,Geotechnical Engineering,Spring,2018,3,48,,5
4300,201,Statics,Fall,2017,3,60,,5
4300,518,Soil and Rock Exploration,Fall,2017,3,15,,5
4300,314,Geotechnical Engineering,Spring,2017,3,49,3.85,5
4300,694,Fundamental Behaviors of Soil,Spring,2017,3,7,5,5
4300,201,Statics,Fall,2016,3,47,4.51,5
4300,518,Soil and Rock Exploration,Fall,2016,3,12,4.8,5
4300,314,Geotechnical Engineering,Spring,2016,3,45,4.42,5
4300,694,Fundamental Behaviors of Soil,Spring,2016,3,5,4.9,5
4300,201,Statics,Fall,2015,3,60,4.32,5
4300,518,Soil and Rock Exploration,Fall,2015,3,14,4.68,5
4300,314,Geotechnical Engineering,Spring,2015,3,67,4.2,5
4300,694,Fundamental Behaviors of Soil,Spring,2015,3,4,5,5
4300,201,Statics,Fall,2014,3,60,4.27,5
4300,418,Soil and Rock Exploration,Fall,2014,3,2,4.43,5
4300,518,Soil and Rock Exploration,Fall,2014,3,3,4.88,5
4300,314,Geotechnical Engineering,Spring,2014,3,40,4,5
4300,314,Geotechnical Lab,Spring,2014,1,5,5,5
4300,201,Statics,Fall,2013,3,49,4.2,5
